time, path, sequence, highest ack, high ack time, last time ack, cwin, one-way-delay, rtt-sample, SRTT, RTT min, Bandwidth (B/s), Receive rate (B/s), Send MTU, pacing packet time(us), nb retrans, nb spurious, cwin blkd, flow blkd, stream blkd, app limited, cc_state, cc_param, bw_max, transit, 
0, 0, 1, -1, 0, 0, 15360, 0, 0, 250000, 0, 0, 0, 1252, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1762,
0, 0, 2, -1, 0, 0, 15360, 0, 0, 250000, 0, 0, 0, 1252, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3202,
250000, 0, 2, -1, 0, 0, 15360, 0, 0, 250000, 0, 0, 0, 1252, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3202,
250000, 0, 2, -1, 0, 0, 15360, 0, 0, 250000, 0, 0, 0, 1252, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3202,
615814, 0, 2, -1, 0, 0, 93685, 0, 615814, 610668, 609933, 293, 0, 1252, 6529, 2, 1, 0, 0, 0, 1, 4, 5036, 46250, 1662,
615814, 0, 3, -1, 0, 0, 93685, 0, 615814, 610668, 609933, 293, 0, 1252, 6529, 2, 1, 0, 0, 0, 1, 4, 5036, 46250, 1717,
616814, 0, 4, -1, 0, 0, 93685, 0, 615814, 610668, 609933, 293, 0, 1252, 6529, 2, 1, 0, 0, 0, 1, 4, 5036, 46250, 1772,
618003, 0, 5, -1, 0, 0, 93685, 0, 615814, 610668, 609933, 293, 0, 1252, 6529, 2, 1, 0, 0, 0, 1, 4, 5036, 46250, 3024,
618003, 0, 6, -1, 0, 0, 93685, 0, 615814, 610668, 609933, 293, 0, 1252, 6529, 2, 1, 0, 0, 0, 1, 4, 5036, 46250, 4276,
618003, 0, 7, -1, 0, 0, 93685, 0, 615814, 610668, 609933, 293, 0, 1252, 6529, 2, 1, 0, 0, 0, 1, 4, 5036, 46250, 5528,
618003, 0, 8, -1, 0, 0, 93685, 0, 615814, 610668, 609933, 293, 0, 1252, 6529, 2, 1, 0, 0, 0, 1, 4, 5036, 46250, 6780,
618003, 0, 9, -1, 0, 0, 93685, 0, 615814, 610668, 609933, 293, 0, 1252, 6529, 2, 1, 0, 0, 0, 1, 4, 5036, 46250, 8032,
