time, path, sequence, highest ack, high ack time, last time ack, cwin, one-way-delay, rtt-sample, SRTT, RTT min, Bandwidth (B/s), Receive rate (B/s), Send MTU, pacing packet time(us), nb retrans, nb spurious, cwin blkd, flow blkd, stream blkd, app limited, cc_state, cc_param, bw_max, transit, 
0, 0, 1, -1, 0, 0, 15360, 0, 0, 250000, 0, 0, 0, 1252, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1762,
0, 0, 2, -1, 0, 0, 15360, 0, 0, 250000, 0, 0, 0, 1252, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3202,
250000, 0, 2, -1, 0, 0, 15360, 0, 0, 250000, 0, 0, 0, 1252, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3202,
250000, 0, 2, -1, 0, 0, 15360, 0, 0, 250000, 0, 0, 0, 1252, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3202,
600156, 0, 2, -1, 0, 0, 92175, 0, 600156, 600105, 600098, 302, 0, 1252, 6521, 2, 1, 0, 0, 0, 1, 4, 5119, 0, 1662,
600156, 0, 3, -1, 0, 0, 92175, 0, 600156, 600105, 600098, 302, 0, 1252, 6521, 2, 1, 0, 0, 0, 1, 4, 5119, 0, 1717,
600177, 0, 4, -1, 0, 0, 92175, 0, 600156, 600105, 600098, 302, 0, 1252, 6521, 2, 1, 0, 0, 0, 1, 4, 5119, 0, 2969,
600177, 0, 5, -1, 0, 0, 92175, 0, 600156, 600105, 600098, 302, 0, 1252, 6521, 2, 1, 0, 0, 0, 1, 4, 5119, 0, 4221,
600177, 0, 6, -1, 0, 0, 92175, 0, 600156, 600105, 600098, 302, 0, 1252, 6521, 2, 1, 0, 0, 0, 1, 4, 5119, 0, 5473,
600177, 0, 7, -1, 0, 0, 92175, 0, 600156, 600105, 600098, 302, 0, 1252, 6521, 2, 1, 0, 0, 0, 1, 4, 5119, 0, 6725,
600177, 0, 8, -1, 0, 0, 92175, 0, 600156, 600105, 600098, 302, 0, 1252, 6521, 2, 1, 0, 0, 0, 1, 4, 5119, 0, 7977,
600177, 0, 9, -1, 0, 0, 92175, 0, 600156, 600105, 600098, 302, 0, 1252, 6521, 2, 1, 0, 0, 0, 1, 4, 5119, 0, 9229,
